,Name,Artist,Acousticness,Danceability,Speechiness,Energy,Liveness,Valence,Key,Mode,Tempo,Duration,Popularity
175,A Blue Mood,Allen Toussaint,0.794,0.631,0.0302,0.215,0.103,0.517,0.0,1.0,97.865,130038.0,24.0
176,Florita del Alma,Los Remis,0.347,0.78,0.077,0.612,0.289,0.951,3.0,1.0,97.519,145333.0,25.0
177,The Heart’s Cry,Bill Whelan,0.979,0.268,0.039,0.0856,0.0838,0.141,10.0,1.0,79.343,150107.0,27.0
178,Sweetness Follows,R.E.M.,0.277,0.314,0.0313,0.289,0.102,0.133,7.0,1.0,76.547,261320.0,28.0
179,El Precio De Quererte,Patrulla 81,0.465,0.686,0.0591,0.652,0.204,0.964,7.0,1.0,134.418,159733.0,30.0
180,Oh Shit,The Pharcyde,0.0771,0.784,0.223,0.828,0.346,0.629,2.0,1.0,103.539,262027.0,28.0
181,"Cassidy - Live at Capital Centre, September 25, 1976",Grateful Dead,0.785,0.589,0.0389,0.621,0.46,0.691,9.0,1.0,79.734,283240.0,15.0
182,All Finesse,NAVVI,0.000472,0.727,0.0407,0.446,0.161,0.164,1.0,1.0,120.007,255923.0,13.0
183,Sucietà,Voci di a Gravona,0.834,0.448,0.0333,0.511,0.108,0.36,6.0,0.0,132.184,231667.0,6.0
184,Sinfonia Noblissima,Robert Jager,0.969,0.269,0.0802,0.511,0.687,0.138,0.0,1.0,115.445,488507.0,1.0
185,The Reactor / The Hologram,Jerry Goldsmith,0.685,0.26,0.0508,0.0913,0.0828,0.0336,9.0,1.0,143.728,339587.0,30.0
186,"Mozart: Piano Concerto No. 25 in C Major, K. 503: III. Allegretto",Wolfgang Amadeus Mozart,0.985,0.3,0.0344,0.109,0.0598,0.389,0.0,1.0,88.945,540800.0,28.0
187,The Ancient Wood,Daniel Emme,0.991,0.318,0.0488,0.0603,0.155,0.0387,6.0,1.0,172.739,141711.0,24.0
188,"Études, Op. 25: No. 1 in A-Flat Major ""Harp Study""",Frédéric Chopin,0.981,0.36,0.0476,0.098,0.0883,0.0338,8.0,1.0,71.937,150293.0,21.0
189,Shiny Happy People 2 - Demo,R.E.M.,0.00212,0.591,0.0303,0.742,0.633,0.812,6.0,0.0,121.048,235333.0,27.0
190,"Bertha - Live at Capital Centre, September 25, 1976",Grateful Dead,0.863,0.652,0.0468,0.6,0.317,0.778,7.0,1.0,101.071,327227.0,16.0
191,Te Estan Matando Los Años,Jorge Meza Y Su Tropi Colombia,0.0781,0.725,0.0601,0.604,0.114,0.73,1.0,1.0,82.518,254813.0,27.0
192,Sanctum Aves,Daniel Emme,0.969,0.429,0.0411,0.0719,0.159,0.06,0.0,1.0,107.287,153308.0,14.0
193,Tu Forma de Ser,Los Salvajes De Chihuahua,0.0515,0.722,0.0454,0.714,0.0477,0.942,8.0,1.0,163.97,197224.0,29.0
194,Cumbia Del Sol,Jorge Meza Y Su Tropi Colombia,0.244,0.753,0.06,0.785,0.168,0.565,4.0,1.0,88.031,250053.0,21.0
195,Elevated,SoundOff Beats,0.0877,0.703,0.0326,0.402,0.0753,0.23,9.0,1.0,121.981,288261.0,22.0
196,"Bertha - Live at Capital Centre, September 25, 1976",Grateful Dead,0.863,0.652,0.0468,0.6,0.317,0.778,7.0,1.0,101.071,327227.0,16.0
197,Here I Am To Worship - Instrumental,Maranatha! Instrumental,0.864,0.46,0.0264,0.272,0.0817,0.0998,3.0,1.0,139.836,283320.0,24.0
198,"Études, Op. 25: No. 1 in A-Flat Major ""Aeolian Harp""",Frédéric Chopin,0.973,0.213,0.0367,0.0349,0.11,0.0363,8.0,1.0,88.502,163133.0,20.0
199,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",Ludwig van Beethoven,0.994,0.218,0.0474,0.0157,0.058,0.126,9.0,0.0,127.306,202400.0,1.0
200,"12 Etudes, Op.25: No.8 In D Flat",Frédéric Chopin,0.992,0.356,0.0486,0.262,0.0884,0.251,1.0,1.0,110.245,67080.0,14.0
201,"Les Ombres errantes: 25ème ordre, 4ème livre",François Couperin,0.996,0.388,0.05,0.018,0.189,0.18,0.0,0.0,74.638,228832.0,15.0
202,Siempre Al Final,Intocable,0.424,0.503,0.0366,0.645,0.346,0.654,2.0,1.0,82.359,250627.0,29.0
203,The Word of the Lord (I Peter 1:24-25),Seeds Family Worship,0.134,0.553,0.0314,0.645,0.48,0.822,5.0,1.0,97.044,220707.0,18.0
204,"China Cat Sunflower - Live at Lyceum, London, England 5/25/1972",Grateful Dead,0.469,0.588,0.0298,0.594,0.322,0.762,7.0,1.0,95.231,270520.0,17.0
205,You Are Not Alone,Modern Talking,0.047,0.652,0.0368,0.996,0.114,0.913,0.0,0.0,128.029,221213.0,23.0
206,"I Wish It Would Rain - With a Trumpet; Live - Reading Festival, Reading, UK 8/25/73; Remastered",Faces,0.507,0.275,0.0437,0.772,0.926,0.579,0.0,1.0,82.737,285920.0,19.0
207,Lead Me On,Conway Twitty,0.534,0.534,0.0265,0.297,0.135,0.47,10.0,1.0,93.927,144826.0,30.0
208,Rainfall For Peace,Thunderstorm,0.937,0.145,0.0384,0.037,0.0996,0.231,0.0,1.0,104.195,101000.0,18.0
209,Lo Que Te Traje De Colombia,Jorge Meza Y Su Tropi Colombia,0.398,0.653,0.0773,0.799,0.0893,0.724,6.0,0.0,169.971,214853.0,18.0
210,Te felicito,Grupo Mojado,0.638,0.346,0.0389,0.525,0.0875,0.523,11.0,1.0,206.028,192427.0,23.0
211,Pero No Me Dejes,Los Yonic's,0.702,0.595,0.0278,0.341,0.0753,0.409,9.0,1.0,141.19,205413.0,26.0
212,"Symphony No. 1, Op. 25 in D ""Classical"": Larghetto",Sergei Prokofiev,0.746,0.236,0.0391,0.00827,0.114,0.039,9.0,1.0,108.905,243107.0,27.0
213,"Ebrio De Amor - En Vivo Desde Los Angeles, CA / 2006",Valentín Elizalde,0.232,0.552,0.0487,0.571,0.916,0.851,8.0,1.0,107.238,115013.0,19.0
214,25eme Ete,Orchestre Septentrional,0.892,0.431,0.0334,0.353,0.126,0.647,10.0,1.0,90.406,190960.0,3.0
215,Pero No Me Dejes,Los Yonic's,0.702,0.595,0.0278,0.341,0.0753,0.409,9.0,1.0,141.19,205413.0,26.0
216,Abrakadabra,257ers,0.102,0.957,0.172,0.604,0.0398,0.824,6.0,1.0,119.968,176547.0,28.0
217,"Myrthen, Op.25: 1. Widmung (Arr. Clara Schumann)",Robert Schumann,0.994,0.247,0.0466,0.0274,0.0993,0.122,8.0,1.0,67.053,134160.0,1.0
218,The System Only Dreams in Total Darkness - Live at Berkeley 9/25/18,The National,0.00224,0.478,0.155,0.654,0.618,0.348,10.0,0.0,114.049,288009.0,26.0
219,Wave Of Mutilation (Peel Session),Pixies,0.337,0.646,0.0324,0.369,0.274,0.567,5.0,1.0,116.962,145200.0,27.0
220,El Gallito,Tropical Panamá,0.375,0.683,0.139,0.734,0.0892,0.924,2.0,1.0,173.256,175280.0,27.0
221,Etude Op. 25 : No. 12 in C Minor,Frédéric Chopin,0.986,0.183,0.0333,0.173,0.112,0.0736,5.0,0.0,75.121,166253.0,13.0
222,Quién Como Tú,Conjunto Primavera,0.187,0.607,0.0244,0.741,0.0653,0.753,0.0,1.0,81.836,232840.0,23.0
223,25ans,T-Vice,0.594,0.705,0.0352,0.752,0.38,0.714,7.0,0.0,93.983,545829.0,2.0
224,"A Change of Seasons I - The Crimson Sunrise - Live at Le Bataclan, Paris, France, 6/25/1998",Dream Theater,6.24e-05,0.276,0.0476,0.787,0.381,0.318,11.0,0.0,137.13,236907.0,21.0
225,"Ludwig van Beethoven-Serenade in D for Flute, Violin, and Viola, Op.25 - 3.Allegro molto",Beethoven,0.988,0.542,0.0431,0.0441,0.275,0.427,9.0,0.0,120.245,130000.0,18.0
226,Xanthic Peak,Daniel Emme,0.99,0.426,0.0557,0.0298,0.112,0.0324,3.0,1.0,73.072,178275.0,14.0
227,Chemin des dames,Alte Voce,0.905,0.286,0.0288,0.354,0.241,0.144,2.0,1.0,109.933,266427.0,5.0
228,Haz Llover,Jose Luis Reyes,0.133,0.545,0.0309,0.75,0.0894,0.298,0.0,1.0,143.965,275080.0,22.0
229,"12 Études, Op. 25: Étude No. 9 in G-Flat Major",Frédéric Chopin,0.988,0.439,0.0492,0.362,0.128,0.293,1.0,1.0,109.27,60800.0,14.0
230,Draw Me Close - Instrumental,Maranatha! Instrumental,0.986,0.668,0.0526,0.0161,0.0832,0.171,10.0,1.0,108.111,283333.0,26.0
231,Guilty Party - Live at Berkeley 9/25/18,The National,0.000725,0.305,0.0723,0.678,0.791,0.314,11.0,0.0,138.019,382369.0,25.0
232,Doubleback - Extended Version,Alan Silvestri,0.17,0.597,0.0343,0.489,0.181,0.657,0.0,1.0,127.927,193107.0,29.0
233,Acroyali - Remastered,Yanni,0.896,0.201,0.0353,0.308,0.168,0.0387,0.0,0.0,84.677,120947.0,29.0
234,WORLD END(TURN.13〜25 OP),Muray,0.00192,0.344,0.0725,0.952,0.19,0.509,0.0,1.0,177.634,226673.0,28.0
235,Ay Corazón,Patrulla 81,0.269,0.688,0.0624,0.519,0.0729,0.961,4.0,1.0,72.175,178133.0,19.0
236,Les oubliés,Mino,0.24,0.52,0.0407,0.594,0.0874,0.684,5.0,0.0,89.949,237320.0,3.0
237,Hij Is Heer (586),Stichting Opwekking,0.0648,0.425,0.0462,0.887,0.962,0.561,7.0,1.0,79.914,298240.0,18.0
238,Ahnelos,Los Aguilares,0.0841,0.528,0.0501,0.77,0.238,0.854,8.0,1.0,106.893,285373.0,22.0
239,The Story of Abraham (4​:​1​-​25),Psallos,0.815,0.362,0.0313,0.229,0.0795,0.25,7.0,1.0,82.018,246200.0,13.0
240,¿Por Qué?,Duelo,0.12,0.659,0.115,0.687,0.0912,0.835,0.0,1.0,154.911,171747.0,27.0
241,Hebe's Garden,Daniel Emme,0.987,0.348,0.0508,0.0792,0.122,0.0457,10.0,1.0,127.887,108250.0,22.0
242,Still Thrives This Love,k.d. lang,0.481,0.707,0.029,0.262,0.12,0.247,5.0,0.0,102.043,215240.0,29.0
243,Erstmal für immer - Kommentar,Querbeat,0.455,0.592,0.0789,0.651,0.336,0.796,5.0,0.0,104.881,189147.0,19.0
244,Don't Think. Feel !!! - 25idoling Ver.,Idoling!!!,0.122,0.572,0.0923,0.941,0.16,0.763,9.0,1.0,151.0,227893.0,1.0
245,Tommy K,The Saw Doctors,0.0185,0.521,0.336,0.717,0.0885,0.642,9.0,1.0,193.676,163027.0,26.0
246,Deja La Luz Encendida,Paquito Guzman,0.723,0.718,0.0359,0.758,0.0925,0.745,7.0,0.0,89.257,282693.0,27.0
247,Black Korea,Ice Cube,0.321,0.836,0.367,0.931,0.23,0.537,11.0,0.0,109.863,46733.0,30.0
248,"12 Etudes, Op.25: No.11 In A Minor ""Winter Wind""",Frédéric Chopin,0.969,0.327,0.0393,0.356,0.137,0.0733,0.0,1.0,117.626,222280.0,15.0
249,Para Que Me Echaste al Mundo,Los Remis,0.112,0.814,0.0428,0.687,0.301,0.937,10.0,1.0,120.026,160507.0,25.0
250,La 25ème image (feat. Daddy Nuttea),Iam,0.0386,0.706,0.0396,0.799,0.267,0.517,7.0,1.0,92.796,319547.0,4.0
251,WORLD END(TURN.13〜25 OP),Muray,0.00192,0.344,0.0725,0.952,0.19,0.509,0.0,1.0,177.634,226673.0,28.0
252,"Ludwig van Beethoven-Serenade in D for Flute, Violin, and Viola, Op.25 - 1.Entrata-Allegro",Beethoven,0.993,0.386,0.0441,0.0298,0.163,0.386,7.0,0.0,120.054,200000.0,18.0
253,To the Well,William Allaudin Mathieu,0.993,0.353,0.0379,0.107,0.0756,0.173,5.0,1.0,90.984,291800.0,14.0
254,Symphony No. 25 in G Minor K. 183/K. 173dB: I. Allegro con brio,Wolfgang Amadeus Mozart,0.983,0.404,0.0343,0.103,0.166,0.302,7.0,0.0,78.939,466933.0,15.0
255,"Vivaldi: Violin Concerto in E-Flat Major, Op. 8 No. 5, RV 253: I. Presto",Antonio Vivaldi,0.857,0.404,0.0335,0.568,0.0557,0.797,2.0,1.0,146.642,174667.0,28.0
256,Tratando de Coronar,Estevan Plazola,0.0789,0.465,0.0434,0.666,0.117,0.886,10.0,1.0,200.601,202106.0,25.0
257,No Voy a Llorar - En Vivo,La Banda Gorda,0.751,0.601,0.0821,0.494,0.537,0.951,0.0,1.0,118.769,306720.0,2.0
258,"Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59",Ludwig van Beethoven,0.985,0.238,0.0418,0.0491,0.108,0.105,9.0,0.0,132.837,206373.0,29.0
259,Holy Is The Lord,Chris Tomlin,0.00151,0.417,0.0268,0.626,0.175,0.442,10.0,1.0,168.027,253027.0,21.0
260,New Speedway Boogie -> - Live 2018-10-25,Joe Russo's Almost Dead,0.26,0.456,0.0959,0.404,0.202,0.539,11.0,0.0,115.673,939360.0,13.0
261,Polyester Girl,Regurgitator,0.00652,0.746,0.0295,0.841,0.101,0.964,8.0,1.0,107.941,210840.0,17.0
262,The Attack On the House - Instrumental,John Williams,0.947,0.285,0.0486,0.112,0.665,0.0796,7.0,1.0,77.166,413200.0,27.0
263,Java,Allen Toussaint,0.155,0.648,0.0333,0.958,0.0724,0.971,0.0,1.0,96.138,113731.0,15.0
264,"Prokofiev: Symphony No. 1 in D Major, Op. 25, ""Classical"": II. Larghetto",Sergei Prokofiev,0.912,0.346,0.035,0.0382,0.101,0.102,9.0,1.0,104.348,249960.0,13.0
265,Estúpida con actuación especial de Johnny Arreola de Los Palominos,Siggno,0.0342,0.619,0.0249,0.605,0.227,0.474,5.0,1.0,125.954,244720.0,27.0
266,Jesus Messiah,Maranatha! Instrumental,0.943,0.356,0.034,0.256,0.0745,0.0477,9.0,1.0,81.989,312187.0,28.0
267,Texarkana 1 - Demo,R.E.M.,9.21e-05,0.489,0.0299,0.769,0.177,0.913,2.0,1.0,133.328,227388.0,26.0
268,Quiero Que Sepas,Dinastia Norteña,0.543,0.856,0.0524,0.853,0.209,0.959,7.0,1.0,113.601,141280.0,13.0
269,"12 Etudes, Op.25: No.1 In A Flat",Frédéric Chopin,0.993,0.288,0.036,0.00885,0.0751,0.0402,8.0,1.0,67.015,145280.0,1.0
270,A Country Boy Can Survive - 25th Anniversary Remix,"Hank Williams, Jr.",0.00547,0.526,0.0307,0.792,0.0941,0.549,7.0,1.0,74.863,259307.0,27.0
271,Carin at the Liquor Store - Live at Berkeley 9/24/18,The National,0.0821,0.447,0.0348,0.312,0.824,0.231,10.0,1.0,97.642,222923.0,29.0
272,"If I Had the World to Give - Live at Nationwide Arena, Columbus, OH 11/25/17",Dead & Company,0.665,0.496,0.0321,0.189,0.305,0.287,0.0,1.0,122.747,410498.0,12.0
273,"Études, Op. 25: No. 3 in F Major",Frédéric Chopin,0.994,0.371,0.0322,0.096,0.105,0.388,0.0,1.0,146.747,107453.0,20.0
274,"12 Etudes, Op.25: No.1 In A Flat ""Harp Study""",Frédéric Chopin,0.992,0.259,0.0337,0.0566,0.0944,0.0392,8.0,1.0,103.157,132560.0,8.0
275,"Symphony No. 25 in G Minor, K. 183: 1. Allegro Con Brio - Edit",Wolfgang Amadeus Mozart,0.981,0.387,0.0381,0.326,0.194,0.283,7.0,0.0,84.384,263442.0,22.0
276,"Études, Op. 25: No. 2 in F Minor",Frédéric Chopin,0.989,0.212,0.0387,0.107,0.062,0.0572,5.0,0.0,107.359,101613.0,21.0
277,"Shakedown Street - Live at New Haven Coliseum, New Haven, October 25, 1979",Grateful Dead,0.767,0.694,0.0708,0.701,0.385,0.674,0.0,1.0,107.772,932293.0,21.0
278,It's All In My Head,Screeching Weasel,3.72e-05,0.258,0.0993,0.959,0.399,0.249,9.0,1.0,109.555,190400.0,18.0
279,Superfly,Curtis Mayfield,0.552,0.779,0.137,0.776,0.0998,0.761,2.0,1.0,119.889,240160.0,24.0
280,The Dream,Jerry Goldsmith,0.761,0.482,0.0367,0.368,0.117,0.0868,7.0,0.0,120.385,218667.0,28.0
281,Tu Traición,Grupo Bryndis,0.242,0.74,0.0332,0.738,0.122,0.942,7.0,1.0,84.593,213693.0,28.0
282,Etude Op. 10 : No. 5 in G-Flat Major,Frédéric Chopin,0.993,0.328,0.0389,0.0676,0.102,0.256,6.0,1.0,106.697,115560.0,15.0
283,"Symphony No.25 In G Minor, K. 173dB (K.183): Allegro",Wolfgang Amadeus Mozart,0.986,0.435,0.0431,0.158,0.142,0.516,7.0,0.0,93.934,356813.0,24.0
284,Limosnero De Cariño,Los Rehenes,0.36,0.487,0.0308,0.611,0.0916,0.683,5.0,1.0,84.2,196027.0,28.0
285,25ans,T-Vice,0.594,0.705,0.0352,0.752,0.38,0.714,7.0,0.0,93.983,545829.0,2.0
286,"Rainbow Bridge - Live At The 4th Annual Telluride Bluegrass And Country Festival, Telluride, CO / June 25-26, 1977",New Grass Revival,0.504,0.434,0.0306,0.561,0.934,0.902,9.0,0.0,129.604,219400.0,21.0
287,"12 Etudes, Op.25: No. 11 in A minor ""Winter Wind""",Frédéric Chopin,0.984,0.254,0.041,0.192,0.101,0.0992,9.0,0.0,165.188,206000.0,20.0
288,"25 Preludes, Op. 64: Prelude No. 9 in E Major: Andantino",César Cui,0.99,0.206,0.0442,0.00185,0.0978,0.106,4.0,1.0,67.325,203000.0,10.0
289,"12 Etudes, Op.25: No.8 In D Flat",Frédéric Chopin,0.989,0.328,0.047,0.296,0.113,0.138,1.0,1.0,114.014,64267.0,30.0
290,Scammed By a Kindergartner - Instrumental,John Williams,0.971,0.291,0.0428,0.00934,0.143,0.0921,5.0,1.0,144.612,235467.0,28.0
291,Get Ready for This - 137 BPM,DJ Hush,7.29e-05,0.534,0.0471,0.999,0.275,0.905,9.0,1.0,136.916,185693.0,29.0
292,"12 Etudes, Op.25: No.8 In D Flat",Frédéric Chopin,0.989,0.328,0.047,0.296,0.113,0.138,1.0,1.0,114.014,64267.0,20.0
293,"Ocean Sounds, Pt. 25",Sleepy John,0.9,0.324,0.0425,0.423,0.192,0.0207,0.0,1.0,174.786,60857.0,28.0
294,"12 Etudes, Op.25: No.5 In E Minor",Frédéric Chopin,0.992,0.327,0.044,0.0768,0.137,0.146,4.0,1.0,80.647,232093.0,20.0
295,Amigos Nada Más,Los Angeles Azules,0.632,0.67,0.046,0.419,0.0902,0.692,0.0,1.0,82.185,210027.0,24.0
296,La Visionnaire (25e ordre),François Couperin,0.994,0.413,0.0397,0.172,0.137,0.416,3.0,1.0,108.356,217107.0,4.0
297,Eres - En Vivo,Tropical Del Bravo,0.0318,0.684,0.0306,0.762,0.836,0.921,10.0,1.0,97.207,158093.0,26.0
298,25 or 6 to 4,Disaster! Cast,0.029,0.496,0.0328,0.824,0.105,0.857,1.0,1.0,77.004,110267.0,13.0
299,"Promised Land - Live at Lyceum, London, England 5/25/1972",Grateful Dead,0.828,0.59,0.0759,0.676,0.434,0.943,0.0,1.0,164.071,202627.0,16.0
300,Lever l'encre,Mino,0.0312,0.312,0.2,0.8,0.387,0.188,7.0,1.0,81.118,288667.0,4.0
301,Exercise 25 in C,Den Internasjonale Musikkskole,0.531,0.439,0.104,0.135,0.119,0.0284,0.0,0.0,120.093,48994.0,16.0
302,No Mayday,Element A.U.,0.259,0.779,0.339,0.722,0.11,0.284,10.0,0.0,160.029,187614.0,27.0
303,"Rhiannon - Live at Jorgensen Auditorium, University of Connecticut, Storrs, CT, 10/25/75",Fleetwood Mac,0.0988,0.344,0.049,0.798,0.367,0.313,9.0,0.0,137.688,477027.0,19.0
304,"Symphony No. 1, Op. 25 in D ""Classical"": Larghetto",Sergei Prokofiev,0.746,0.236,0.0391,0.00827,0.114,0.039,9.0,1.0,108.905,243107.0,27.0
305,Love Has No Pride (with Bonnie Raitt),"Crosby, Stills & Nash",0.753,0.388,0.0324,0.158,0.895,0.244,9.0,1.0,98.292,308320.0,21.0
306,Amor Libre,Rigo Tovar,0.435,0.497,0.0453,0.545,0.104,0.968,7.0,1.0,181.236,172813.0,26.0
307,Close But No Guitar,Toby Keith,0.561,0.757,0.0372,0.649,0.279,0.708,2.0,1.0,126.617,168202.0,22.0
308,No Voy a Llorar - En Vivo,La Banda Gorda,0.751,0.601,0.0821,0.494,0.537,0.951,0.0,1.0,118.769,306720.0,2.0
309,Lay Your Hands on Me - Live,Peter Gabriel,0.00341,0.36,0.0441,0.717,0.982,0.203,4.0,0.0,101.568,374507.0,17.0
310,El Negro Pega Con To - En Vivo,La Banda Gorda,0.806,0.599,0.0981,0.68,0.0858,0.827,7.0,1.0,77.568,209688.0,2.0
311,"Etudes, Op. 25: No. 6 in G-Sharp Minor",Frédéric Chopin,0.979,0.278,0.0377,0.156,0.104,0.217,1.0,0.0,139.504,135013.0,23.0
312,Que Solo Estoy Sin Ti,Banda El Recodo,0.506,0.479,0.0292,0.59,0.0984,0.702,0.0,1.0,92.498,219467.0,22.0
313,Olvidemos Nuestro Orgullo,Grupo Bryndis,0.398,0.707,0.0441,0.647,0.0429,0.869,9.0,1.0,162.442,220427.0,23.0
314,The Ghost Of Tom Joad (with Tom Morello),Bruce Springsteen,0.169,0.221,0.0808,0.906,0.971,0.249,4.0,0.0,169.802,482493.0,30.0
315,Igitt,257ers,0.0128,0.802,0.066,0.802,0.088,0.764,1.0,1.0,118.036,158533.0,29.0
316,You - Remastered,R.E.M.,0.0943,0.15,0.0337,0.54,0.106,0.105,7.0,1.0,180.118,294733.0,30.0
317,"12 Etudes, Op.25: No.6 In G Sharp Minor",Frédéric Chopin,0.979,0.272,0.039,0.205,0.111,0.137,8.0,0.0,72.906,125933.0,19.0
318,We're Strangers Again,Tammy Wynette,0.577,0.517,0.0279,0.182,0.186,0.294,0.0,1.0,84.962,166893.0,24.0
319,Magic Feet,25th Annual Putnam County Spelling Bee Original Cast,0.89,0.53,0.373,0.452,0.169,0.765,2.0,0.0,162.108,155400.0,29.0
320,The Wemorell,Daniel Emme,0.995,0.372,0.0518,0.0515,0.0793,0.0606,3.0,0.0,70.576,213050.0,14.0
321,Etude Op. 10 : No. 10 in A-Flat Major,Frédéric Chopin,0.992,0.288,0.044,0.0983,0.114,0.311,8.0,1.0,112.693,158600.0,14.0
322,Cruising The Storm,Rain Sounds,0.969,0.314,0.0454,0.279,0.123,0.362,0.0,1.0,149.991,127000.0,25.0
323,Cuando Regreses,Patrulla 81,0.0523,0.589,0.0303,0.533,0.298,0.572,7.0,1.0,139.975,204427.0,29.0
324,"""Shokugyou: Idol."" - 25idoling Ver.",Idoling!!!,0.0043,0.498,0.0649,0.956,0.0746,0.881,2.0,1.0,169.976,266893.0,2.0
325,"Cumberland Blues - Live at Nationwide Arena, Columbus, OH 11/25/17",Dead & Company,0.19,0.544,0.0311,0.569,0.989,0.641,0.0,1.0,96.496,652300.0,21.0
326,"Avslappningsövning och stresshantering, del 25",Stressmottagningen,0.948,0.464,0.239,0.0819,0.147,0.224,0.0,1.0,87.794,38360.0,21.0
327,"Études, Op. 25: No. 1 in A-Flat Major ""Aeolian Harp""",Frédéric Chopin,0.973,0.213,0.0367,0.0349,0.11,0.0363,8.0,1.0,88.502,163133.0,20.0
328,The Second Goodbye,25th Annual Putnam County Spelling Bee Original Cast,0.563,0.274,0.0338,0.338,0.192,0.352,2.0,1.0,168.752,35573.0,26.0
329,Etude Op. 25 : No. 1 in A-flat Major,Frédéric Chopin,0.993,0.18,0.0365,0.0126,0.0861,0.0394,8.0,1.0,73.479,180933.0,14.0
330,Winds of Enola,Daniel Emme,0.991,0.366,0.0372,0.0469,0.228,0.0335,11.0,0.0,85.896,208730.0,14.0
331,Bad Omen - Remastered,Megadeth,0.000238,0.272,0.226,0.961,0.0502,0.139,11.0,1.0,140.976,244507.0,28.0
332,Amigos Nada Más,Los Angeles Azules,0.632,0.67,0.046,0.419,0.0902,0.692,0.0,1.0,82.185,210027.0,24.0
333,Scammed By a Kindergartner - Instrumental,John Williams,0.971,0.291,0.0428,0.00934,0.143,0.0921,5.0,1.0,144.612,235467.0,28.0
334,Ramblin' On My Mind - SA.2583-1,Robert Johnson,0.958,0.69,0.0714,0.204,0.144,0.737,0.0,1.0,113.226,142320.0,24.0
335,"Études, Op. 25: I. Etude in A-Flat Major ""Aeolian Harp""",Frédéric Chopin,0.982,0.326,0.0357,0.0453,0.073,0.0395,8.0,1.0,107.671,151067.0,24.0
336,"Chains - Live At The BBC For ""Pop Go The Beatles"" / 25th June, 1963",The Beatles,0.541,0.517,0.0434,0.576,0.081,0.924,10.0,1.0,136.47,135103.0,27.0
337,"Études, Op. 25: No. 10 in B Minor",Frédéric Chopin,0.992,0.242,0.0494,0.117,0.0751,0.0625,11.0,1.0,72.097,285933.0,8.0
338,"12 Etudes, Op.25: No.11 In A Minor",Frédéric Chopin,0.981,0.405,0.0385,0.209,0.11,0.0929,0.0,1.0,61.015,218773.0,18.0
339,Bahota Karam (25th Pauri of Japji),Sat Kartar,0.595,0.709,0.0281,0.525,0.113,0.531,3.0,1.0,114.994,423670.0,14.0
340,Te Estan Matando Los Años,Jorge Meza Y Su Tropi Colombia,0.0781,0.725,0.0601,0.604,0.114,0.73,1.0,1.0,82.518,254813.0,27.0
341,"Carmen Fantasy, Op. 25 (after G. Bizet)",Pablo de Sarasate,0.752,0.435,0.0512,0.232,0.247,0.222,4.0,0.0,108.171,772040.0,16.0
342,Quién Me Ha Robado Tu Corazón,Liberación,0.14,0.618,0.0251,0.602,0.132,0.728,2.0,1.0,99.882,177173.0,24.0
343,Escribiendo Victoria (En Vivo),Danny Berrios,0.564,0.524,0.0503,0.907,0.466,0.453,8.0,1.0,141.922,277002.0,24.0
344,"Myrthen, Op. 25: I. Dedication",Robert Schumann,0.976,0.217,0.0463,0.109,0.105,0.0738,5.0,1.0,136.235,146200.0,14.0
345,King Of Birds - Remastered,R.E.M.,0.0761,0.563,0.0268,0.756,0.131,0.532,2.0,1.0,94.681,250280.0,21.0
346,Come Now Is the Time to Worship,Vineyard Worship,0.202,0.472,0.0462,0.665,0.593,0.143,9.0,1.0,99.941,341640.0,27.0
347,"Études, Op. 25: No. 12 in C Minor",Frédéric Chopin,0.961,0.15,0.0368,0.175,0.104,0.0513,5.0,0.0,69.938,155227.0,18.0
348,About Today - Live at Berkeley 9/25/18,The National,0.0476,0.254,0.0954,0.409,0.453,0.0857,0.0,1.0,108.258,857934.0,24.0
349,Freshly Serene Storm,Rain Sounds,0.943,0.164,0.0437,0.0214,0.11,0.0947,0.0,1.0,101.965,101000.0,24.0
350,"Caution (Do Not Stop on Tracks) - Live at the Avalon Ballroom, San Francisco, CA, 1/25/69",Grateful Dead,0.447,0.361,0.0688,0.828,0.632,0.391,9.0,1.0,139.166,431467.0,14.0
351,"Prokofiev: Symphony No. 1 in D Major, Op. 25, ""Classical"": II. Larghetto",Sergei Prokofiev,0.912,0.346,0.035,0.0382,0.101,0.102,9.0,1.0,104.348,249960.0,13.0
352,"Études, Op. 25: No. 2 in F Minor",Frédéric Chopin,0.989,0.212,0.0387,0.107,0.062,0.0572,5.0,0.0,107.359,101613.0,10.0
353,Capricho Maldito,Los Rieleros Del Norte,0.601,0.226,0.0316,0.593,0.083,0.394,5.0,1.0,73.582,239827.0,21.0
354,2,Jorrdee,0.72,0.221,0.1,0.772,0.11,0.0658,9.0,0.0,161.005,219470.0,10.0
355,Tu Muere Aqui - En Vivo,La Banda Gorda,0.692,0.525,0.0906,0.615,0.33,0.913,11.0,0.0,162.859,278357.0,4.0
356,"Symphony No. 2 in C Minor, Op. 17, TH 25 ""Little Russian"": II. Andantino marziale, quasi moderato",Pyotr Ilyich Tchaikovsky,0.958,0.213,0.0375,0.0217,0.124,0.124,3.0,1.0,101.633,427000.0,15.0
